date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01,1.7,-1.7,6.1,0,0,123,6.1,18,1033.6,436
2020-01-02,-0.9,-4.1,3.2,0,0,189,7.6,22,1030.8,247
2020-01-03,5.1,0.6,9.8,1.6,0,190,14.4,38.2,1025.7,13
2020-01-04,5,3.5,7.9,0,0,279,17.3,50.8,1031.5,75
2020-01-05,4.1,-0.5,5.6,0.2,0,193,6.8,24.1,1036.1,11
2020-01-06,1,-2.5,6,0.6,0,145,7.2,20.9,1029.7,445
2020-01-07,3.2,-1.1,7.9,1.3,0,208,7.2,24.5,1029.9,61
2020-01-08,4.1,-0.1,7.9,0.1,0,152,8.6,22.3,1029.3,0
2020-01-09,10.1,7.1,14.8,1,0,167,11.9,25.6,1020.3,136
2020-01-10,8.8,6.1,12.1,2.4,0,232,14.8,49,1021.8,192
2020-01-11,4.4,-0.1,6.3,0,0,215,7.2,28.8,1033.2,25
2020-01-12,0.9,-1.9,3.3,0,0,180,10.1,26.3,1029.3,35
2020-01-13,4.6,2.9,7.4,0.2,0,149,10.1,27.4,1022.7,31
2020-01-14,6.8,2.4,11.8,0,0,158,13.3,31.7,1016.7,109
2020-01-15,8.7,4.1,14,0,0,174,12.2,30.6,1020.1,476
2020-01-16,9.4,4.6,13.6,0,0,145,10.4,23.4,1027.1,265
2020-01-17,5.6,1,10,0.7,0,180,11.5,38.2,1021.6,224
2020-01-18,4.7,2.2,7.1,0.9,0,270,11.9,42.1,1027.3,162
2020-01-19,2,0.5,3.6,0.9,0,311,9.4,23.4,1036.6,1
2020-01-20,1.7,-1.2,5.1,0,0,168,7.6,32,1045.1,320
2020-01-21,-1.2,-3.5,1.8,0,0,89,6.8,18,1041.8,229
2020-01-22,-3.2,-5.3,-0.4,0,0,180,6.1,19.4,1036.9,211
2020-01-23,-1.7,-4.4,0.8,0,0,123,6.5,21.6,1032.1,0
2020-01-24,0.6,-3.2,5,0,0,152,7.2,21.6,1025.4,440
2020-01-25,2.1,-1.8,7,0,0,154,5.8,23,1022.7,220
2020-01-26,2.6,-1,7.3,0,0,157,7.9,22.3,1020,226
2020-01-27,6.5,2.4,10.9,0.1,0,178,13.3,40,1013.1,100
2020-01-28,5.2,1.7,7.4,6.5,0,228,20.5,74.5,1002.9,132
2020-01-29,3.8,0.9,6.6,0.8,0,260,16.2,59.4,1012,31
2020-01-30,7,3.8,10.2,1.1,0,190,11.9,29.9,1014.7,312
2020-01-31,12.2,10.2,14,0,0,229,11.5,40.7,1013.4,6
2020-02-01,12,9.9,15,1.3,0,221,15.5,56.5,1010.9,137
2020-02-02,11.3,8.1,14.6,10.1,0,235,17.3,52.2,1013.5,0
2020-02-03,8.8,7.1,14.6,12.1,0,253,15.5,59.8,1015.8,0
2020-02-04,5,1.8,14.3,1.1,0,280,26.6,79.9,1014.6,114
2020-02-05,3.3,-1.2,6.1,0,0,295,16.6,46.1,1033.1,323
2020-02-06,1.3,-2.5,6.5,0,0,163,8.3,21.6,1033.2,525
2020-02-07,1.5,-3.6,7.8,0,0,122,9,21.2,1028.5,536
2020-02-08,3.3,-1.4,9.4,0,0,152,11.2,25.6,1025.1,516
2020-02-09,8.7,2.4,15.7,0.8,0,184,18,82.4,1017,394
2020-02-10,10.4,2.2,15,10.1,0,253,33.8,108.7,1003.9,307
2020-02-11,4.8,1.4,6.7,1.5,0,265,28.4,83.2,1011.2,259
2020-02-12,4.3,2.7,5.7,0.7,0,254,17.6,55.1,1019.4,133
2020-02-13,4.4,0.7,8.7,3.5,0,183,15.8,54,1011.7,14
2020-02-14,6.9,4.5,8.7,0.4,0,256,16.9,53.3,1021.1,28
2020-02-15,6.9,1.4,12.4,0,0,162,12.2,33.1,1023.7,492
2020-02-16,12.5,7.2,20.5,0,0,170,14.8,41.4,1015.5,236
2020-02-17,9.5,5.2,16.6,6,0,222,12.6,59.4,1018.6,0
2020-02-18,6.3,4.3,8.7,0,0,239,15.8,52.9,1026.7,222
2020-02-19,5.2,3.1,7.1,1.5,0,242,19.1,67,1022.8,252
2020-02-20,7,3.7,11.7,0.2,0,220,11.5,58,1021.4,133
2020-02-21,5.8,2.9,8.6,0,0,274,16.9,69.8,1028.8,387
2020-02-22,8.8,1.8,14.5,2.6,0,207,13,50.8,1027.5,383
2020-02-23,11.2,6.8,14.8,5.1,0,236,21.6,62.3,1021.8,25
2020-02-24,8.5,4.1,14.8,0.8,0,221,14.8,43.6,1019.4,200
2020-02-25,7.7,3.5,9.4,8.2,0,245,13.7,44.3,1005.1,0
2020-02-26,2.7,0.3,5,1.6,0,257,19.1,59,1003.7,127
2020-02-27,2.3,-0.1,4.9,6.5,0,214,20.5,90.4,1003.5,100
2020-02-28,4.3,1.1,7.5,2,0,233,17.3,53.6,1017.4,328
2020-02-29,9,5,16.1,3.9,0,179,14.4,82.1,1002.3,113
2020-03-01,8.7,4.9,12.8,0.1,0,200,16.9,79.9,999.6,351
2020-03-02,6,2.2,10.1,8.4,0,190,12.6,36.4,993.7,95
2020-03-03,4.3,1.8,6.8,0.1,0,272,15.8,66.6,1004.7,164
2020-03-04,4.3,1.3,7.5,0.1,0,215,9.4,30.6,1013.3,50
2020-03-05,5.7,2.2,8.9,6.1,0,156,14.8,45.4,998.8,0
2020-03-06,5.7,3.9,8.5,6.1,0,232,17.6,54,998.4,12
2020-03-07,4.7,2.6,7.4,0.1,0,277,15.8,37.8,1018.9,242
2020-03-08,6.7,1.2,11.4,1.5,0,187,13.7,31,1018.7,406
2020-03-09,6.9,4.7,10.2,0.2,0,251,14,40.3,1015.7,173
2020-03-10,7,4.3,11.3,10,0,211,16.6,50,1014.7,0
2020-03-11,13.5,11.2,17.2,0.1,0,232,19.8,61.9,1016.4,355
2020-03-12,11.4,7.5,16.1,2.5,0,246,17.3,56.9,1014.8,108
2020-03-13,7.4,4,10.5,0,0,270,18.4,57.6,1020.7,541
2020-03-14,5,0.8,10.2,0,0,152,7.9,32,1022.6,184
